rule_id,energy_code,pose_id,composition_id,default_action,motion_level,weight,avoid_rule,explicit_weight,inferred_weight,not_provided_weight,constraint_type,note
ENR-01,ENG_ENERGETIC,POSE_RUN,COMP_WIDE,ACT_PLAY_WITH_FRIENDS,FAST,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
ENR-02,ENG_STEADY,POSE_WALK,COMP_BALANCED,ACT_SLOW_WALK,STEADY,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
ENR-03,ENG_HEAVY,POSE_LOW,COMP_CLOSE,ACT_SLOW_WALK,SLOW,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
ENR-04,ENG_STOP_REST,POSE_RECLINE,COMP_COZY,ACT_REST_BLANKET,STOPPED,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
ENR-05,ENG_RUSHED,POSE_BUSY,COMP_BUSY,ACT_DESK_WORK,RUSHED,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
ENR-06,ENG_SLOW_FINISH,POSE_ARRIVE,COMP_PATH,ACT_FINISH_WORK,PERSISTENT,40,에너지와 반대되는 과도한 동작 제외,40,15,0,SOFT_PREFERRED,EXPLICIT=100%; HIGH_CONFIDENCE_INFERRED>=0.75=40%; otherwise not applied
