group,code,label,parent,valence,arousal,description,visual_hint,avoid_visual
EVENT_DOMAIN,WORK_STUDY,일·공부,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,RELATIONSHIP,관계,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,FAMILY,가족,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,HEALTH,건강,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,FUTURE,미래·진로,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,FINANCE,경제,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,HOBBY,취미,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,REST,휴식,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,DAILY,일상,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,SELF,나 자신,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,TRAVEL,여행·외출,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,CELEBRATION,축하,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,LOSS,상실,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,UNEXPECTED,예상 밖의 일,,,,03_event_types.csv 도메인,,
EVENT_DOMAIN,UNKNOWN,미확인,,,,03_event_types.csv 도메인,,
EVENT_OUTCOME,OUT_SUCCESS,성공,,POSITIVE,,사건 결과,,
EVENT_OUTCOME,OUT_POSITIVE,긍정적,,POSITIVE,,사건 결과,,
EVENT_OUTCOME,OUT_RELIEF,안도,,POSITIVE,,사건 결과,,
EVENT_OUTCOME,OUT_NEUTRAL,중립,,NEUTRAL,,사건 결과,,
EVENT_OUTCOME,OUT_MIXED,혼합,,MIXED,,사건 결과,,
EVENT_OUTCOME,OUT_DIFFICULT,어려움,,NEGATIVE,,사건 결과,,
EVENT_OUTCOME,OUT_LOSS,상실,,NEGATIVE,,사건 결과,,
EVENT_OUTCOME,OUT_UNCERTAIN,불확실,,MIXED,,사건 결과,,
EVENT_OUTCOME,OUT_UNKNOWN,미확인,,UNKNOWN,,사건 결과,,
EVENT_STAGE,STARTED,시작됨,,,,사건 진행 단계,,
EVENT_STAGE,ONGOING,진행 중,,,,사건 진행 단계,,
EVENT_STAGE,COMPLETED,완료됨,,,,사건 진행 단계,,
EVENT_STAGE,WAITING,기다리는 중,,,,사건 진행 단계,,
EVENT_STAGE,CANCELLED,취소됨,,,,사건 진행 단계,,
EVENT_STAGE,UNSPECIFIED,미지정,,,,사건 진행 단계,,
SOCIAL_CONTEXT,ALONE,혼자,,,,관계 맥락,,
SOCIAL_CONTEXT,FRIENDS,친구,,,,관계 맥락,,
SOCIAL_CONTEXT,PARTNER,연인,,,,관계 맥락,,
SOCIAL_CONTEXT,FAMILY,가족,,,,관계 맥락,,
SOCIAL_CONTEXT,COLLEAGUES,동료,,,,관계 맥락,,
SOCIAL_CONTEXT,CLASSMATES,반 친구들,,,,관계 맥락,,
SOCIAL_CONTEXT,GROUP,그룹,,,,관계 맥락,,
SOCIAL_CONTEXT,CROWD,군중,,,,관계 맥락,,
SOCIAL_CONTEXT,ONLINE,온라인,,,,관계 맥락,,
SOCIAL_CONTEXT,PET,반려동물,,,,관계 맥락,,
SOCIAL_CONTEXT,NOT_DISCLOSED,비공개,,,,관계 맥락,,
